,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,85,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,307,2,92,0,185,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,407,102,192,0,285,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,507,202,292,98,385,0,0,0,14,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,607,302,392,198,485,0,0,0,114,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,106,707,402,492,298,585,0,0,0,214,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,206,807,502,592,398,685,88,0,0,314,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,306,907,77,692,498,785,188,0,0,414,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,406,1007,177,792,598,885,288,0,0,514,0,0,0,62,0
0,0,0,0,0,0,0,0,0,0,0,42,506,1107,277,892,698,985,388,0,0,614,0,0,0,162,0
0,0,0,0,0,0,0,0,0,0,0,142,606,1207,377,42,798,1085,488,0,0,714,0,0,0,262,0
0,0,0,0,0,0,0,0,0,0,0,242,706,1307,477,142,898,1185,588,0,29,814,0,0,0,362,0
0,0,0,0,0,0,0,0,0,0,0,342,806,33,577,242,998,1285,688,0,129,914,0,0,0,462,0
0,0,0,0,0,0,0,0,0,0,0,442,906,133,677,24,1098,1385,788,0,229,1014,0,0,0,562,0
0,0,0,0,0,0,0,0,0,0,0,542,1006,233,777,124,23,1485,888,0,329,1114,0,0,0,662,0
0,0,0,0,0,0,0,0,0,0,0,642,1106,333,877,224,123,1585,19,0,429,1214,0,0,0,762,0
0,0,0,0,0,0,0,0,0,0,0,742,1206,433,20,324,223,1685,119,0,529,1314,0,0,0,862,0
0,0,0,0,0,0,0,0,0,0,0,842,1306,533,120,19,323,1785,219,0,629,1414,0,0,0,962,0
0,0,0,0,0,0,0,0,0,0,0,942,1406,633,220,119,423,1885,319,0,729,1514,0,6,0,1062,0
0,0,0,0,0,0,0,0,0,0,0,1042,1506,733,320,219,523,1985,419,0,4,1614,0,106,0,1162,0
0,0,0,0,0,0,0,0,0,0,0,1142,11,833,420,319,623,2085,519,0,104,1714,0,206,0,1262,0
0,0,0,0,0,0,0,0,0,0,0,1242,111,933,520,419,723,20,619,0,204,1814,0,306,0,1362,0
0,0,0,0,0,0,0,0,0,0,0,1342,211,1033,620,519,19,120,719,0,304,1914,0,406,0,1462,0
0,0,0,0,0,0,0,0,0,11,0,1442,311,1133,720,619,119,220,819,0,404,2014,0,506,0,1562,0
0,0,0,0,0,0,0,0,0,111,0,1542,411,1233,820,3,219,320,919,0,504,2114,0,606,0,1662,0
0,0,0,0,0,0,0,0,0,211,0,1642,511,1333,920,103,319,420,1019,0,604,2214,0,706,0,1762,0
0,0,0,0,0,0,0,0,0,311,0,1742,611,1433,1020,203,419,520,1119,84,704,2314,0,806,0,1862,0
0,0,0,0,0,0,0,0,0,411,0,1842,711,1533,1,303,519,620,1219,184,804,2414,99,906,0,1962,0
0,0,0,0,0,0,0,0,0,511,0,1942,811,1633,101,403,1,720,1319,284,904,2514,199,1006,0,2062,0
0,0,0,0,0,0,0,0,0,611,0,2042,911,1733,201,503,101,820,8,384,1004,2614,299,1106,0,2162,0
0,0,0,0,0,0,0,0,0,711,0,2142,1011,1833,301,603,201,920,108,484,1104,6,399,1206,0,2262,0
0,0,0,0,0,0,0,0,0,811,0,2242,1111,1933,401,703,301,1020,208,584,1204,106,499,1306,2,2362,0
0,0,0,0,0,0,0,0,0,911,0,2342,1211,2033,501,803,401,1120,308,684,1304,206,599,1406,102,2462,14
0,0,0,0,0,0,0,0,0,1011,0,23,1311,2133,601,903,501,1220,408,784,1404,306,699,1506,202,2562,114
0,0,0,0,0,0,0,0,0,1111,0,123,1411,2233,701,1003,601,1320,508,23,1504,406,799,1606,302,2662,214
0,0,0,0,0,0,0,0,0,1211,0,223,1511,2333,801,1103,701,1420,608,123,30,506,899,1706,402,2762,314
0,0,0,0,0,0,0,0,0,1311,0,323,1611,2433,901,1203,801,1520,37,223,130,606,999,1806,502,2862,414
0,0,0,0,0,0,0,0,0,1411,0,423,1711,34,1001,1303,901,1620,137,323,230,706,1099,1906,602,2962,514
0,0,0,0,0,0,0,0,0,1511,0,523,1811,134,1101,41,1001,1720,237,423,330,806,1199,2006,702,3062,614
0,0,0,0,0,53,0,0,0,1611,0,623,1911,234,1201,141,1101,1820,337,523,430,906,1299,2106,802,3162,714
0,0,0,0,0,153,0,0,0,1711,0,723,2011,334,52,241,1201,1920,437,623,530,1006,1399,2206,902,3262,814
0,0,0,0,0,253,0,0,0,1811,0,823,2111,434,152,341,1301,2020,537,723,630,46,1499,2306,1002,3362,914
0,0,0,0,0,353,0,0,0,1911,47,923,2211,534,252,441,1401,2120,637,823,730,146,1599,2406,1102,3462,1014
0,0,0,0,0,453,0,0,0,2011,147,1023,2311,634,352,541,1501,2220,737,923,830,246,1699,2506,42,3562,1114
0,0,0,0,0,553,0,0,0,2111,247,1123,2411,734,452,641,1601,2320,837,1023,930,346,55,2606,142,3662,1214
0,0,0,0,0,653,0,0,0,2211,347,1223,2511,834,552,741,57,2420,937,1123,1030,446,155,2706,242,3762,1314
